path,size_bytes,title_block,title_has_tra,title_is_non_tra,phrase_present,income_tra_phrase,tra_term_count,decision,reason
data/edgar-query/exhibits/0001638833/0001104659-24-073419_tm2417299d1_ex10-1.htm,1974266,FIRST AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001638833/0001104659-25-077656_tm2523271d1_ex10-1.htm,1955779,SECOND AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001638833/0001193125-17-166717_d368189dex102.htm,143298,STOCK PURCHASE AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001638833/0001638833-20-000038_a202004228-kexhibit102.htm,1697560,SECOND INCREMENTAL TERM LOAN AMENDMENT,false,false,false,false,0,drop,large filing (1697560 B) with no TRA phrase or terms
data/edgar-query/exhibits/0001638833/0001638833-22-000134_a2022q3exhibit101.htm,1958993,EIGHTH AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001643953/0001213900-20-025218_ea126416ex10-1_purpleinnov.htm,1215296,"CREDIT AGREEMENT | September 3, 2020 among PURPLE INNOVATION, LLC , as Borrower, PURPLE INNOVATION, INC., as Holdings, THE LENDING INSTITUTIONS NAMED HEREIN, as Lenders, and KEYBANK NATIONAL ASSOCIATION, as an LC Issuer, Swing Line Lender and as the Administrative Agent | KeyBanc Capital Markets Inc",false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001643953/0001213900-22-010057_f10k2021ex10-60_purpleinn.htm,1371716,FIRST AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001643953/0001213900-22-014616_ea157311ex10-1_purple.htm,1238461,SECOND AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001643953/0001213900-23-013019_ea173932ex10-1_purpleinnov.htm,1227653,FIFTH AMENDMENT TO CREDIT AGREEMENT,false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001644406/0001644406-23-000030_hostess-2023firstliencredi.htm,1675237,"FIRST LIEN CREDIT AGREEMENT | dated as of June 30, 2023 | HB HOLDINGS, LLC, as Holdings, | HOSTESS BRANDS, LLC, as Borrower, | THE LENDERS AND ISSUING BANKS PARTY HERETO, | JPMORGAN CHASE BANK, N.A., as Administrative Agent, | JPMORGAN CHASE BANK, N.A., as Collateral Agent | _________________ | JPMO",false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
data/edgar-query/exhibits/0001651052/0000912057-18-000188_filename2.htm,4279648,"FIRST LIEN CREDIT AGREEMENT | dated as of July 3, 2017 among | FOCUS FINANCIAL PARTNERS, LLC, as the Borrower, | The Several Lenders from Time to Time Parties Hereto, | ROYAL BANK OF CANADA, as the Term Administrative Agent, the Collateral Agent and a Lender, | BANK OF AMERICA, N.A., as Revolver Adm",false,true,false,false,0,drop,title names a non-TRA instrument; no TRA phrase
