cik,display_name,first_file_date,last_file_date,total_hits,forms_touched,in_phrase_query,in_token_query,in_deferred_csv,signal_class
0000711377,NEOGEN CORP  (NEOG)  (CIK 0000711377),2022-06-08,2022-09-01,3,8-K;DEFM14A;S-4/A,true,false,false,both
0000719739,SVB FINANCIAL GROUP  (SIVBQ)  (CIK 0000719739),2023-06-21,2023-06-21,1,8-K,true,false,false,body-only
0000721683,TOTAL SYSTEM SERVICES INC  (CIK 0000721683),2010-05-07,2010-05-07,1,10-Q,true,false,false,body-only
0000722077,AMC ENTERTAINMENT INC  (CIK 0000722077),2007-02-20,2016-03-10,35,10-K;10-Q;10-Q/A;8-K,true,false,false,body-only
0000723612,"AVIS BUDGET GROUP, INC.  (CAR)  (CIK 0000723612)",2005-03-01,2009-02-26,12,10-K;10-K/A;10-Q,true,false,false,body-only
0000732717,"AT&T INC.  (T, TBB, TBC, T-PA, T-PC)  (CIK 0000732717)",2021-05-20,2021-08-02,2,8-K,true,false,false,body-only
0000733076,BRIGHTHOUSE LIFE INSURANCE Co  (CIK 0000733076),2017-11-13,2022-03-02,6,10-K;10-Q,true,false,false,body-only
0000750004,"Light & Wonder, Inc.  (LNW, LAWIL)  (CIK 0000750004)",2019-02-28,2023-10-23,10,10-K;10-Q;8-K,true,false,false,both
0000753308,"NEXTERA ENERGY INC  (NEE, NEE-PN, NEE-PR, NEE-PS)  (CIK 0000753308); FLORIDA POWER & LIGHT CO  (CIK 0000037634)",2016-08-01,2017-02-23,2,10-K;8-K,true,false,false,body-only
0000766421,"ALASKA AIR GROUP, INC.  (ALK)  (CIK 0000766421)",2023-12-04,2023-12-04,1,8-K,true,false,false,body-only
0000785787,AEP INDUSTRIES INC  (CIK 0000785787),2016-08-25,2016-12-15,2,8-K;DEFM14A,true,false,false,body-only
0000791908,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",2025-08-15,2025-09-23,2,8-K,true,false,false,body-only
0000799088,CARMIKE CINEMAS INC  (CIK 0000799088),2016-10-11,2016-10-11,1,DEFM14A,true,false,false,body-only
0000802967,"ASSOCIATED MATERIALS, LLC  (CIK 0000802967)",2014-03-21,2016-09-26,4,10-K;8-K,true,false,false,both
0000808362,Baker Hughes a GE Co  (BKR)  (CIK 0001701605); BAKER HUGHES a GE Co LLC  (CIK 0000808362),2016-11-01,2018-11-13,5,8-K;DEFM14A,true,false,false,both
0000810332,REPUBLIC AIRWAYS HOLDINGS INC.  (RJET)  (CIK 0000810332),2025-04-08,2026-03-19,2,10-K;8-K,true,false,false,body-only
0000823768,WASTE MANAGEMENT INC  (WM)  (CIK 0000823768),2024-06-05,2024-06-05,2,8-K;8-K/A,true,false,false,exhibit-only
0000830122,PICO HOLDINGS INC /NEW  (CIK 0000830122),2013-08-09,2017-04-11,6,10-K;10-Q;8-K,true,false,false,both
0000837465,Topgolf Callaway Brands Corp.  (MODG)  (CIK 0000837465),2025-11-18,2026-01-07,2,8-K,true,false,false,body-only
0000840889,DORAL FINANCIAL CORP  (CIK 0000840889),2014-06-02,2014-06-02,1,8-K,true,false,false,body-only
0000849869,SILGAN HOLDINGS INC  (SLGN)  (CIK 0000849869),2011-04-13,2011-04-18,2,8-K,true,false,false,both
